date,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,OT
2010/1/3 19:00,0.312,240.41,6.2,0,0,1,1.424
2010/1/3 20:00,0.088,240.36,19.4,0,29,19,4.658
2010/1/3 21:00,0.082,243.61,5.8,1,0,1,1.434
2010/1/3 22:00,0.238,242.62,3,0,1,1,0.682
2010/1/3 23:00,0,247.85,1.2,0,0,0,0.308
2010/1/4 0:00,0,249.06,1.2,0,0,1,0.31
2010/1/4 1:00,0.366,245.02,2.6,0,1,1,0.552
2010/1/4 2:00,0,247.83,1.2,0,0,0,0.31
2010/1/4 3:00,0.14,247.64,1.8,0,0,1,0.42
2010/1/4 4:00,0,247.84,1.2,0,0,1,0.308
2010/1/4 5:00,0,247.72,1.2,0,0,1,0.31
2010/1/4 6:00,0.056,248.84,1.6,0,0,1,0.374
2010/1/4 7:00,0.186,243.64,8.2,0,0,19,1.984
2010/1/4 8:00,0.072,241.22,6,0,0,18,1.438
2010/1/4 9:00,0.112,243.98,6.2,0,0,19,1.512
2010/1/4 10:00,0,245.95,5.8,0,0,19,1.43
2010/1/4 11:00,0.106,245.55,6,0,1,19,1.502
2010/1/4 12:00,0.222,244.14,6.4,0,0,19,1.586
2010/1/4 13:00,0.066,246.11,1.4,0,0,1,0.35
2010/1/4 14:00,0,249.55,1.2,0,0,1,0.314
2010/1/4 15:00,0.152,250.47,1.8,0,0,1,0.416
2010/1/4 16:00,0,248.4,1.2,0,0,1,0.31
2010/1/4 17:00,0.102,247.25,1.6,0,0,1,0.388
2010/1/4 18:00,0.48,241.9,4.8,0,2,0,1.028
2010/1/4 19:00,0.094,244.79,7.2,0,0,1,1.754
2010/1/4 20:00,0.078,240.46,12.4,0,0,18,2.998
2010/1/4 21:00,0.136,244.4,5.8,0,0,1,1.404
2010/1/4 22:00,0.234,241.36,6.2,0,0,1,1.486
2010/1/4 23:00,0,246.34,6.8,0,0,19,1.708
2010/1/5 0:00,0.136,247.44,1.8,0,0,1,0.42
2010/1/5 1:00,0.214,245.94,2.2,0,1,1,0.472
2010/1/5 2:00,0,245.99,1.6,0,0,1,0.352
2010/1/5 3:00,0.076,246.16,1.6,0,0,1,0.362
2010/1/5 4:00,0,247.95,1,0,0,0,0.256
2010/1/5 5:00,0,248.93,1,0,0,1,0.258
2010/1/5 6:00,0.134,247.1,1.4,0,0,1,0.356
2010/1/5 7:00,0.132,246.02,2.2,0,0,1,0.57
2010/1/5 8:00,0.05,239.05,15.8,38,0,18,3.796
2010/1/5 9:00,0.616,241.88,15.2,1,0,19,3.63
2010/1/5 10:00,0,245.12,5.4,0,0,20,1.362
2010/1/5 11:00,0,244.93,9,0,0,19,1.992
2010/1/5 12:00,0.246,244.04,6.4,0,2,19,1.562
2010/1/5 13:00,0.068,247.27,6.2,0,0,19,1.562
2010/1/5 14:00,0.1,242.99,6.4,0,0,19,1.546
2010/1/5 15:00,0.076,248.62,6.6,0,0,20,1.654
2010/1/5 16:00,0.05,250.45,8.4,0,0,20,2.112
2010/1/5 17:00,0,241.98,9.8,0,0,19,2.38
2010/1/5 18:00,0.066,242.48,11,0,0,19,2.678
2010/1/5 19:00,0.06,244.24,11,0,1,19,2.698
2010/1/5 20:00,0.142,244.66,4.8,0,0,0,1.188
2010/1/5 21:00,0.048,243.78,4.4,0,0,0,1.088
2010/1/5 22:00,0.142,239.04,10.8,0,0,18,2.602
2010/1/5 23:00,0.27,244.52,11.6,15,2,19,2.666
2010/1/6 0:00,0,246.85,1.2,1,0,0,0.286
2010/1/6 1:00,0,244.34,1,0,0,0,0.244
2010/1/6 2:00,0.224,243.55,1.8,0,0,1,0.416
2010/1/6 3:00,0,247.03,1,0,0,1,0.252
2010/1/6 4:00,0,248.73,1,0,0,1,0.254
2010/1/6 5:00,0.104,248.89,1.4,0,0,0,0.328
2010/1/6 6:00,0.112,248.57,6,0,1,20,1.492
2010/1/6 7:00,0.274,242.31,11,0,0,19,2.664
2010/1/6 8:00,0.066,243.18,7.6,0,0,19,1.874
2010/1/6 9:00,0,243.43,5.4,0,0,19,1.34
2010/1/6 10:00,0.24,245.53,6.2,0,2,19,1.54
2010/1/6 11:00,0.07,238.98,17,0,39,18,4.058
2010/1/6 12:00,0.046,241.09,5.6,0,1,19,1.382
2010/1/6 13:00,0.248,245.37,2,0,0,1,0.422
2010/1/6 14:00,0,242.75,11.4,0,37,0,2.796
2010/1/6 15:00,0.058,247.33,7.6,0,24,1,1.65
2010/1/6 16:00,0.298,249.29,2.2,0,2,0,0.462
2010/1/6 17:00,0,249.43,2,0,0,1,0.388
2010/1/6 18:00,0.144,246.23,3,0,1,1,0.754
2010/1/6 19:00,0.104,245.41,4.4,0,0,1,1.08
2010/1/6 20:00,0,241.65,8.2,0,0,19,1.986
2010/1/6 21:00,0.098,242,10,2,0,18,2.408
2010/1/6 22:00,0.116,241.67,6.2,1,1,0,1.464
2010/1/6 23:00,0.088,247.41,6,0,2,19,1.516
2010/1/7 0:00,0.236,246.26,2,0,0,0,0.45
2010/1/7 1:00,0,245.2,1.2,0,0,1,0.28
2010/1/7 2:00,0.12,245,1.6,0,0,0,0.37
2010/1/7 3:00,0,247.48,1.2,0,0,1,0.268
2010/1/7 4:00,0,247.85,1.2,0,0,0,0.27
2010/1/7 5:00,0.136,248.85,1.6,0,0,1,0.376
2010/1/7 6:00,0.108,248.45,6,0,2,20,1.498
2010/1/7 7:00,0,245.58,3.2,0,0,1,0.77
2010/1/7 8:00,0.094,239.52,8,0,0,18,1.926
2010/1/7 9:00,0.078,243.03,5.8,0,0,19,1.41
2010/1/7 10:00,0.21,244.96,6,0,1,20,1.49
2010/1/7 11:00,0.112,243.94,5.8,0,0,19,1.434
2010/1/7 12:00,0,242.34,5.4,0,0,19,1.324
2010/1/7 13:00,0.112,243.82,5.8,0,0,19,1.446
2010/1/7 14:00,0,245.49,5.4,0,0,19,1.354
2010/1/7 15:00,0.092,246.97,3.4,0,0,0,0.844
2010/1/7 16:00,0.142,247.27,1.4,0,0,1,0.352
2010/1/7 17:00,0,247.91,1,0,0,0,0.252
2010/1/7 18:00,0,243.08,2.6,0,0,1,0.636
2010/1/7 19:00,0.086,240,7.8,0,0,0,1.862
2010/1/7 20:00,0,240.48,9.4,0,0,18,2.304
2010/1/7 21:00,0,242.73,10.4,1,2,19,2.56
2010/1/7 22:00,0,241.1,19.2,38,0,18,4.642
2010/1/7 23:00,0,246.95,6,0,0,19,1.482
2010/1/8 0:00,0.248,248.65,2,0,0,1,0.426
2010/1/8 1:00,0.106,244.54,1.4,0,2,1,0.32
2010/1/8 2:00,0,245.05,1,0,0,1,0.246
2010/1/8 3:00,0.152,252.09,1.4,0,0,0,0.36
2010/1/8 4:00,0,249.57,1,0,0,1,0.256
2010/1/8 5:00,0.108,250.13,1.4,0,0,0,0.332
2010/1/8 6:00,0.246,248.17,2,0,0,0,0.432
2010/1/8 7:00,0.208,243.71,11,0,0,19,2.674
2010/1/8 8:00,0.096,242.12,5.8,0,0,19,1.428
2010/1/8 9:00,0,242.69,8,0,0,18,1.952
2010/1/8 10:00,0,242.48,7.8,0,0,19,1.914
2010/1/8 11:00,0.11,241.8,5.8,0,0,18,1.42
2010/1/8 12:00,0.244,241.89,6.8,0,0,18,1.654
2010/1/8 13:00,0.078,241.01,7.2,0,0,19,1.756
2010/1/8 14:00,0.128,243.33,1.4,0,0,0,0.344
2010/1/8 15:00,0,240.07,5.4,0,0,19,1.306
2010/1/8 16:00,0.228,244.82,6.8,0,0,19,1.652
2010/1/8 17:00,0,242.43,7.8,0,0,19,1.914
2010/1/8 18:00,0,242.26,6.4,0,0,1,1.554
2010/1/8 19:00,0.152,243.35,8,0,0,0,1.972
2010/1/8 20:00,0.282,242.44,7.2,0,2,0,1.732
2010/1/8 21:00,0.05,244.42,5.8,0,0,0,1.432
2010/1/8 22:00,0,239.64,9,0,0,19,2.154
2010/1/8 23:00,0.366,246.69,2.4,0,1,1,0.49
2010/1/9 0:00,0.118,244.02,1.4,0,0,1,0.334
2010/1/9 1:00,0.13,247.19,1.4,0,0,0,0.342
2010/1/9 2:00,0.088,244.81,1.4,0,0,1,0.322
2010/1/9 3:00,0,244.88,1,0,0,1,0.246
2010/1/9 4:00,0.114,246.18,5.8,0,0,19,1.464
2010/1/9 5:00,0,248.1,1,0,0,1,0.252
2010/1/9 6:00,0.238,246.68,2,0,0,1,0.436
2010/1/9 7:00,0,246.32,6,0,0,20,1.5
2010/1/9 8:00,0,245.28,9.2,0,0,19,2.266
2010/1/9 9:00,0.134,240.82,6.2,0,0,19,1.498
2010/1/9 10:00,0,240.52,5.4,0,0,19,1.342
2010/1/9 11:00,0.212,241.03,6.2,0,0,18,1.496
2010/1/9 12:00,0,241.24,5.6,0,0,18,1.366
2010/1/9 13:00,0,246.52,1.2,0,0,0,0.282
2010/1/9 14:00,0.59,240.45,9.2,0,0,0,2.14
2010/1/9 15:00,0.348,239.85,16.8,2,37,18,3.942
2010/1/9 16:00,0.088,243.01,12.8,39,0,0,3.106
2010/1/9 17:00,0.134,243.53,1.8,0,1,0,0.418
2010/1/9 18:00,0.254,238.17,22,30,36,1,5.148
2010/1/9 19:00,0.39,236.84,20,0,0,18,4.728
2010/1/9 20:00,0.078,241.94,6.2,0,0,18,1.492
2010/1/9 21:00,0.06,243.76,12.6,0,1,19,3.07
2010/1/9 22:00,0.048,242.57,8,0,0,18,1.964
2010/1/9 23:00,0.184,245.4,7.8,0,1,19,1.946
2010/1/10 0:00,0.114,249.04,7.2,0,1,20,1.808
2010/1/10 1:00,0,241.3,5.4,0,0,18,1.332
2010/1/10 2:00,0.094,244.5,1.2,0,0,1,0.314
2010/1/10 3:00,0.13,245.21,1.4,0,0,1,0.35
2010/1/10 4:00,0,245.54,1,0,0,1,0.246
2010/1/10 5:00,0,246.39,1,0,0,0,0.248
2010/1/10 6:00,0.266,247.51,2.2,0,2,1,0.456
2010/1/10 7:00,0.064,244.39,1.2,0,0,1,0.302
2010/1/10 8:00,0,243.88,1,0,0,1,0.246
2010/1/10 9:00,0.08,241.46,2,0,0,0,0.476
2010/1/10 10:00,0.448,238.89,13,0,2,18,3.108
2010/1/10 11:00,0.092,242.18,18.2,0,39,18,4.428
2010/1/10 12:00,0.284,240.81,8.6,1,0,18,2.052
2010/1/10 13:00,0.138,239.63,11.2,8,0,18,2.484
2010/1/10 14:00,0.334,242.76,10.4,0,2,19,2.522
2010/1/10 15:00,0.42,240.22,23.8,11,38,18,5.656
2010/1/10 16:00,0.38,244.25,12.2,0,1,19,2.996
2010/1/10 17:00,0.074,237.98,21.2,38,1,18,5.042
2010/1/10 18:00,0.052,243.17,10.8,1,0,19,2.65
2010/1/10 19:00,0.164,243.2,6.8,0,0,1,1.644
2010/1/10 20:00,0.068,245.05,4.8,0,0,0,1.21
2010/1/10 21:00,0.072,243.26,9,0,0,19,2.206
2010/1/10 22:00,0.24,243.39,4.4,0,0,1,1.08
2010/1/10 23:00,0,247.61,1.8,0,0,1,0.472
2010/1/11 0:00,0,250.72,1,0,0,0,0.256
2010/1/11 1:00,0.152,249.9,1.4,0,0,1,0.352
2010/1/11 2:00,0,249.54,1,0,0,1,0.252
2010/1/11 3:00,0.168,247.33,1.8,0,0,1,0.38
2010/1/11 4:00,0.256,246.6,6.2,0,1,19,1.54
2010/1/11 5:00,0.132,248.66,1.4,0,1,0,0.322
2010/1/11 6:00,0,249.82,1,0,0,1,0.26
2010/1/11 7:00,0.14,241.94,7.8,0,0,19,1.904
2010/1/11 8:00,0.114,240.13,9,0,0,19,2.154
2010/1/11 9:00,0.092,243.6,6,0,0,19,1.48
2010/1/11 10:00,0.124,243.69,6.2,0,0,19,1.518
2010/1/11 11:00,0.124,243.28,6,0,0,18,1.496
2010/1/11 12:00,0,243.02,5.6,0,0,19,1.4
2010/1/11 13:00,0.054,246.86,1.6,0,0,1,0.364
2010/1/11 14:00,0.26,247.07,2.2,0,0,1,0.488
2010/1/11 15:00,0.15,250.4,1.6,0,1,1,0.408
2010/1/11 16:00,0.144,249.15,1.6,0,2,1,0.396
2010/1/11 17:00,0.282,248.32,3.2,0,1,0,0.78
2010/1/11 18:00,0.104,247.17,3,0,0,1,0.768
2010/1/11 19:00,0.06,245.41,13.2,0,0,19,3.248
2010/1/11 20:00,0.132,247.59,5.2,0,0,1,1.294
2010/1/11 21:00,0.114,244.18,5,2,0,1,1.226
2010/1/11 22:00,0.104,240.52,13,39,0,1,3.144
2010/1/11 23:00,0.132,245.28,1.4,0,0,0,0.344
2010/1/12 0:00,0,245.98,1,0,0,0,0.25
2010/1/12 1:00,0.074,245.37,1.4,0,0,1,0.326
2010/1/12 2:00,0,244.46,1,0,0,1,0.248
2010/1/12 3:00,0.23,245.87,1.8,0,1,1,0.398
2010/1/12 4:00,0.262,245.61,2,0,1,1,0.426
2010/1/12 5:00,0,244.9,1,0,0,1,0.25
2010/1/12 6:00,0,246.86,1,0,0,1,0.26
2010/1/12 7:00,0.282,242.39,8.8,0,0,19,2.136
2010/1/12 8:00,0.2,241.13,8.6,0,0,19,2.088
2010/1/12 9:00,0.286,240.88,12.6,0,0,19,2.942
2010/1/12 10:00,0.114,242.79,5.8,0,0,19,1.428
2010/1/12 11:00,0.118,241.81,7,0,1,18,1.712
2010/1/12 12:00,0.1,244.19,6,0,0,19,1.47
2010/1/12 13:00,0.308,243.07,14.4,0,34,18,3.44
2010/1/12 14:00,0.18,243.98,14.2,1,29,19,3.394
2010/1/12 15:00,0.076,248.62,6.6,0,0,20,1.654
2010/1/12 16:00,0.05,250.45,8.4,0,0,20,2.112
2010/1/12 17:00,0,241.98,9.8,0,0,19,2.38
2010/1/12 18:00,0.066,242.48,11,0,0,19,2.678
2010/1/12 19:00,0.06,244.24,11,0,1,19,2.698
2010/1/12 20:00,0.142,244.66,4.8,0,0,0,1.188
2010/1/12 21:00,0.048,243.78,4.4,0,0,0,1.088
2010/1/12 22:00,0.142,239.04,10.8,0,0,18,2.602
2010/1/12 23:00,0.27,244.52,11.6,15,2,19,2.666
2010/1/13 0:00,0,246.85,1.2,1,0,0,0.286
2010/1/13 1:00,0,244.34,1,0,0,0,0.244
2010/1/13 2:00,0.224,243.55,1.8,0,0,1,0.416
2010/1/13 3:00,0,247.03,1,0,0,1,0.252
2010/1/13 4:00,0,248.73,1,0,0,1,0.254
2010/1/13 5:00,0.104,248.89,1.4,0,0,0,0.328
2010/1/13 6:00,0.112,248.57,6,0,1,20,1.492
2010/1/13 7:00,0.274,242.31,11,0,0,19,2.664
2010/1/13 8:00,0.066,243.18,7.6,0,0,19,1.874
2010/1/13 9:00,0,243.43,5.4,0,0,19,1.34
2010/1/13 10:00,0.24,245.53,6.2,0,2,19,1.54
2010/1/13 11:00,0.07,238.98,17,0,39,18,4.058
2010/1/13 12:00,0.046,241.09,5.6,0,1,19,1.382
2010/1/13 13:00,0.248,245.37,2,0,0,1,0.422
2010/1/13 14:00,0,242.75,11.4,0,37,0,2.796
2010/1/13 15:00,0.058,247.33,7.6,0,24,1,1.65
2010/1/13 16:00,0.298,249.29,2.2,0,2,0,0.462
2010/1/13 17:00,0,249.43,2,0,0,1,0.388
2010/1/13 18:00,0.144,246.23,3,0,1,1,0.754
2010/1/13 19:00,0.104,245.41,4.4,0,0,1,1.08
2010/1/13 20:00,0,241.65,8.2,0,0,19,1.986
2010/1/13 21:00,0.098,242,10,2,0,18,2.408
2010/1/13 22:00,0.116,241.67,6.2,1,1,0,1.464
2010/1/13 23:00,0.088,247.41,6,0,2,19,1.516
2010/1/14 0:00,0.236,246.26,2,0,0,0,0.45
2010/1/14 1:00,0,245.2,1.2,0,0,1,0.28
2010/1/14 2:00,0.12,245,1.6,0,0,0,0.37
2010/1/14 3:00,0,247.48,1.2,0,0,1,0.268
2010/1/14 4:00,0,247.85,1.2,0,0,0,0.27
2010/1/14 5:00,0.136,248.85,1.6,0,0,1,0.376
2010/1/14 6:00,0.108,248.45,6,0,2,20,1.498
2010/1/14 7:00,0,245.58,3.2,0,0,1,0.77
2010/1/14 8:00,0.094,239.52,8,0,0,18,1.926
2010/1/14 9:00,0.078,243.03,5.8,0,0,19,1.41
2010/1/14 10:00,0.21,244.96,6,0,1,20,1.49
2010/1/14 11:00,0.112,243.94,5.8,0,0,19,1.434
2010/1/14 12:00,0,242.34,5.4,0,0,19,1.324
2010/1/14 13:00,0.112,243.82,5.8,0,0,19,1.446
2010/1/14 14:00,0,245.49,5.4,0,0,19,1.354
2010/1/14 15:00,0.092,246.97,3.4,0,0,0,0.844
2010/1/14 16:00,0.142,247.27,1.4,0,0,1,0.352
2010/1/14 17:00,0,247.91,1,0,0,0,0.252
2010/1/14 18:00,0,243.08,2.6,0,0,1,0.636
2010/1/14 19:00,0,243.08,2.6,0,0,0,0.636
2010/1/14 20:00,0.284,241.25,15.8,11,0,19,3.652
2010/1/14 21:00,0.13,245.87,5.4,1,0,1,1.332
2010/1/14 22:00,0.14,243.76,4.4,1,0,1,1.054
2010/1/14 23:00,0.308,245.35,8.6,0,0,19,2.084
2010/1/15 0:00,0.09,243.94,1.2,0,0,1,0.318
2010/1/15 1:00,0.084,242.33,1.2,0,0,1,0.31
2010/1/15 2:00,0.118,242.91,1.4,0,0,1,0.34
2010/1/15 3:00,0.106,243.58,1.4,0,1,0,0.326
2010/1/15 4:00,0,246.01,1,0,0,1,0.248
2010/1/15 5:00,0.1,244.1,1.6,0,0,1,0.35
2010/1/15 6:00,0.136,247.6,1.4,0,0,0,0.354
2010/1/15 7:00,0.202,240.87,7.8,0,1,18,1.9
2010/1/15 8:00,0.28,241.51,8.2,0,0,25,1.98
2010/1/15 9:00,0.106,241.36,9.4,0,0,19,2.288
2010/1/15 10:00,0,243.36,5.6,0,0,19,1.37
2010/1/15 11:00,0.124,244.85,6,0,0,19,1.464
2010/1/15 12:00,0.188,245.17,6.6,0,0,20,1.638
2010/1/15 13:00,0.172,242.52,6.8,0,0,18,1.656
2010/1/15 14:00,0.534,244.34,12.8,0,2,19,3.066
2010/1/15 15:00,0,248.62,1.2,0,0,0,0.278
2010/1/15 16:00,0.156,249.88,3.2,0,0,0,0.776
2010/1/15 17:00,0.238,245.74,9,0,0,19,2.234
2010/1/15 18:00,0.278,238.7,6.6,0,0,0,1.536
2010/1/15 19:00,0.396,240.18,8,0,0,1,1.91
2010/1/15 20:00,0.074,240.61,22,0,39,18,5.294
2010/1/15 21:00,0.492,238.72,24.8,10,39,18,5.874
2010/1/15 22:00,0,241.09,8.2,1,1,19,1.972
2010/1/15 23:00,0.168,245.26,2.6,1,0,0,0.606
2010/1/16 0:00,0.104,248.46,1.4,0,0,1,0.346
2010/1/16 1:00,0,245.38,1,0,0,1,0.254
2010/1/16 2:00,0.118,242.45,1.4,0,0,1,0.346
2010/1/16 3:00,0,245.07,1.4,0,0,1,0.298
2010/1/16 4:00,0.118,246.25,1.4,0,1,0,0.324
2010/1/16 5:00,0.126,244.86,1.4,0,0,0,0.35
2010/1/16 6:00,0,246.41,1,0,0,1,0.258
2010/1/16 7:00,0.296,244.21,8.8,0,2,29,2.15
2010/1/16 8:00,0.234,242.28,10,0,0,18,2.446
2010/1/16 9:00,0,243.28,5.6,0,0,19,1.384
2010/1/16 10:00,0.09,239.31,8,0,0,18,1.93
2010/1/16 11:00,0.124,239.25,8.8,0,0,18,2.096
2010/1/16 12:00,0.17,240.09,15,0,32,18,3.604
2010/1/16 13:00,0.388,241.11,9.8,0,2,18,2.34
2010/1/16 14:00,0.112,242.53,7,0,0,19,1.7
2010/1/16 15:00,0.242,247.37,6.2,0,0,19,1.55
2010/1/16 16:00,0.216,247.8,6.8,0,0,20,1.714
2010/1/16 17:00,0,244.76,1.6,0,0,0,0.428
2010/1/16 18:00,0.066,238.82,8.4,0,0,1,2.046
2010/1/16 19:00,0.42,240.78,4.6,0,0,1,1.026
2010/1/16 20:00,0.244,239.42,8.6,0,0,18,2.058
2010/1/16 21:00,0.182,240.8,14.4,38,0,1,3.506
2010/1/16 22:00,0.204,237.54,5,0,0,1,1.192
2010/1/16 23:00,0.12,243.02,6.2,0,0,0,1.502
2010/1/17 0:00,0,245.09,5.8,0,0,19,1.452
2010/1/17 1:00,0.258,246.47,2,0,0,1,0.432
2010/1/17 2:00,0,245.05,1,0,0,0,0.244
2010/1/17 3:00,0,247.92,1,0,0,1,0.25
2010/1/17 4:00,0.29,248.09,2,0,1,0,0.42
2010/1/17 5:00,0,248.13,1,0,0,0,0.25
2010/1/17 6:00,0.278,249.63,2,0,0,0,0.442
2010/1/17 7:00,0.23,242.64,1.8,0,2,1,0.398
2010/1/17 8:00,0,241.95,5.4,0,0,19,1.326
2010/1/17 9:00,0.168,243.54,2,0,0,1,0.456
2010/1/17 10:00,0,244.63,1.6,0,0,1,0.38
2010/1/17 11:00,0,241.47,5.8,0,0,18,1.402
2010/1/17 12:00,0.226,239.13,7,0,0,19,1.682
2010/1/17 13:00,0.246,240.15,6.8,0,0,18,1.646
2010/1/17 14:00,0.328,239.16,7.8,0,1,18,1.826
2010/1/17 15:00,0.082,243.26,7.2,0,0,19,1.774
2010/1/17 16:00,0.214,241.81,7.6,0,0,19,1.824
2010/1/17 17:00,0.046,238.6,7,0,0,18,1.666
2010/1/17 18:00,0.052,236.76,5.8,0,0,0,1.38
2010/1/17 19:00,0,237.27,8.4,0,0,18,2.006
2010/1/17 20:00,0.25,237.94,15,1,0,18,3.502
2010/1/17 21:00,0.364,240.76,12.2,2,2,19,2.922
2010/1/17 22:00,0,241.27,8,1,0,18,1.948
2010/1/17 23:00,0,244.47,6,0,0,19,1.49
2010/1/18 0:00,0.224,245.44,6.2,0,1,19,1.514
2010/1/18 1:00,0.118,242.92,5.8,0,0,19,1.424
2010/1/18 2:00,0,243.63,1,0,0,0,0.242
2010/1/18 3:00,0.138,245.25,1.4,0,0,1,0.352
2010/1/18 4:00,0,244.83,1.2,0,0,0,0.274
2010/1/18 5:00,0,245.86,1,0,0,1,0.264
2010/1/18 6:00,0.126,242.44,1.4,0,0,0,0.342
2010/1/18 7:00,0.304,240.64,10.2,0,2,28,2.452
2010/1/18 8:00,0.244,240.65,10.2,0,0,18,2.444
2010/1/18 9:00,0.234,244.82,8.2,0,0,19,2.014
2010/1/18 10:00,0.132,246.01,8,0,0,19,1.956
2010/1/18 11:00,0.138,247.03,6.4,0,0,20,1.596
2010/1/18 12:00,0,243.15,6,0,0,18,1.456
2010/1/18 13:00,0.226,247.97,6.4,0,0,20,1.604
2010/1/18 14:00,0.234,246.28,2,0,1,0,0.454
2010/1/18 15:00,0,248.22,1.4,0,0,1,0.338
2010/1/18 16:00,0.16,249.28,2,0,0,1,0.476
2010/1/18 17:00,0.124,243.62,2,0,1,1,0.476
2010/1/18 18:00,0.322,239.86,11.2,0,0,18,2.686
2010/1/18 19:00,0.098,242.39,6.8,0,0,0,1.678
2010/1/18 20:00,0.054,238.4,6.2,0,0,0,1.476
2010/1/18 21:00,0.22,238.91,7.4,0,0,1,1.738
2010/1/18 22:00,0.19,237.84,11.6,0,0,19,2.768
2010/1/18 23:00,0.178,243.57,3.6,0,0,1,0.868
2010/1/19 0:00,0.098,243.98,6.4,0,1,0,1.582
2010/1/19 1:00,0,245.52,1.2,0,0,1,0.276
2010/1/19 2:00,0.104,245.41,1.4,0,0,0,0.324
2010/1/19 3:00,0,244.57,1,0,0,0,0.246
